,loss,accuracy,val_loss,val_accuracy
0,0.6943295001983643,0.5471153259277344,0.6701285243034363,0.5803999900817871
1,0.6786335706710815,0.572895348072052,0.6353111267089844,0.6552000045776367
2,0.644070029258728,0.6401457786560059,0.5793576836585999,0.7188000082969666
3,0.5944516658782959,0.6832162737846375,0.49872061610221863,0.7663999795913696
4,0.5544120669364929,0.7184638381004333,0.47511056065559387,0.7851999998092651
5,0.5333108305931091,0.7340208292007446,0.4427720606327057,0.7943999767303467
6,0.5153345465660095,0.7443328499794006,0.4620893895626068,0.7871999740600586
7,0.5036951899528503,0.7543781399726868,0.44369766116142273,0.7947999835014343
8,0.4902461767196655,0.7646457552909851,0.40137940645217896,0.8235999941825867
9,0.4768086075782776,0.7710463404655457,0.47312748432159424,0.7851999998092651
10,0.46571114659309387,0.7782914042472839,0.44794735312461853,0.8059999942779541
11,0.45794621109962463,0.7864699363708496,0.40571776032447815,0.8288000226020813
12,0.44544360041618347,0.7911369800567627,0.376618355512619,0.8407999873161316
13,0.4284096956253052,0.805182695388794,0.45646175742149353,0.8044000267982483
14,0.4215429425239563,0.8064717054367065,0.3849662244319916,0.8356000185012817
